source,target,relationship_type,method,confidence,evidence
67/2011/QH12,Kiểm toán viên,AP_DUNG_CHO,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Kiểm toán viên hành nghề,AP_DUNG_CHO,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Doanh nghiệp kiểm toán,AP_DUNG_CHO,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,AP_DUNG_CHO,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Đơn vị được kiểm toán,AP_DUNG_CHO,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,Tổ chức nghề nghiệp về kiểm toán,AP_DUNG_CHO,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
67/2011/QH12,"Tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",AP_DUNG_CHO,gemini,0.9,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
46/2023/NĐ-CP,Chính phủ,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
46/2023/NĐ-CP,Lê Minh Khái,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Lê Minh Khái
46/2023/NĐ-CP,Bảo hiểm,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Bảo hiểm
156/2020/NĐ-CP,Chính phủ,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
156/2020/NĐ-CP,Nguyễn Xuân Phúc,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Xuân Phúc
156/2020/NĐ-CP,Chứng khoán,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Chứng khoán
27/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
27/2024/TT-NHNN,Đào Minh Tú,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
27/2024/TT-NHNN,"Thanh tra, giám sát ngân hàng",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
05/2019/NĐ-CP,Chính phủ,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
05/2019/NĐ-CP,Nguyễn Xuân Phúc,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Xuân Phúc
05/2019/NĐ-CP,Kiểm toán,THUOC_LINH_VUC,gemini,0.95,"Nghị định này quy định về công tác kiểm toán nội bộ trong các cơ quan nhà nước, đơn vị sự nghiệp công lập và các doanh nghiệp."
05/2019/NĐ-CP,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",AP_DUNG_CHO,gemini,0.95,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
05/2019/NĐ-CP,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",AP_DUNG_CHO,gemini,0.95,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
05/2019/NĐ-CP,Các đơn vị sự nghiệp công lập,AP_DUNG_CHO,gemini,0.95,c) Các đơn vị sự nghiệp công lập;
05/2019/NĐ-CP,Các doanh nghiệp,AP_DUNG_CHO,gemini,0.95,d) Các doanh nghiệp;
05/2019/NĐ-CP,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",AP_DUNG_CHO,gemini,0.9,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
05/2019/NĐ-CP,Tổ chức tín dụng,AP_DUNG_CHO,gemini,0.9,Công tác kiểm toán nội bộ của tổ chức tín dụng thực hiện theo Luật các tổ chức tín dụng
05/2019/NĐ-CP,Ngân hàng Nhà nước Việt Nam,AP_DUNG_CHO,gemini,0.9,Công tác kiểm toán nội bộ của Ngân hàng Nhà nước thực hiện theo Luật Ngân hàng Nhà nước
43/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
43/2024/TT-NHNN,Phạm Thanh Hà,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Phạm Thanh Hà
43/2024/TT-NHNN,Quản lý ngoại hối,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Quản lý ngoại hối
135/2015/NĐ-CP,Chính phủ,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Chính phủ
135/2015/NĐ-CP,Nguyễn Tấn Dũng,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Tấn Dũng
17/VBHN-BTC,Bộ Tài chính,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
17/VBHN-BTC,Nguyễn Đức Chi,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Đức Chi
202/2012/TT-BTC,Bộ Tài chính,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
202/2012/TT-BTC,Trần Xuân Hà,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Trần Xuân Hà
202/2012/TT-BTC,Quản lý dịch vụ tài chính và các quỹ tài chính,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Quản lý dịch vụ tài chính và các quỹ tài chính
57/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
57/2024/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
57/2024/TT-NHNN,"Thanh tra, giám sát ngân hàng",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
44/2011/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
44/2011/TT-NHNN,Trần Minh Tuấn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Trần Minh Tuấn
66/2020/TT-BTC,Bộ Tài chính,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
29/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
29/2024/TT-NHNN,Đào Minh Tú,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
29/2024/TT-NHNN,"Thanh tra, giám sát ngân hàng",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
08/2021/TT-BTC,Bộ Tài chính,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
08/2021/TT-BTC,Tạ Anh Tuấn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Tạ Anh Tuấn
08/2021/TT-BTC,Kiểm toán,THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Kế toán, kiểm toán"
22/2023/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
22/2023/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
22/2023/TT-NHNN,"Thanh tra, giám sát ngân hàng",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
56/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
56/2024/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
56/2024/TT-NHNN,"Thanh tra, giám sát ngân hàng",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
69/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
69/2025/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
69/2025/TT-NHNN,Cục An toàn hệ thống các tổ chức tín dụng,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Cục An toàn hệ thống các tổ chức tín dụng
105/2016/TT-BTC,Bộ Tài chính,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Bộ Tài chính
105/2016/TT-BTC,Trần Xuân Hà,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Trần Xuân Hà
62/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
62/2024/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
62/2024/TT-NHNN,"Thanh tra, giám sát ngân hàng",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
62/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
62/2025/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
62/2025/TT-NHNN,Cục An toàn hệ thống các tổ chức tín dụng,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Cục An toàn hệ thống các tổ chức tín dụng
52/VBHN-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
52/VBHN-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
63/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
63/2025/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
63/2025/TT-NHNN,"Lao động, tiền lương, tiền công",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Lao động, tiền lương, tiền công"
41/2016/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
41/2016/TT-NHNN,Nguyễn Đồng Tiến,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Đồng Tiến
41/2016/TT-NHNN,"Thanh tra, giám sát ngân hàng",THUOC_LINH_VUC,rule,1.0,"Metadata gốc: linh_vuc = Thanh tra, giám sát ngân hàng"
17/2023/QH15,Quốc hội,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
17/2023/QH15,Vương Đình Huệ,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Vương Đình Huệ
01/2025/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
01/2025/TT-NHNN,Đoàn Thái Sơn,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đoàn Thái Sơn
01/2025/TT-NHNN,Cục An toàn hệ thống các tổ chức tín dụng,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Cục An toàn hệ thống các tổ chức tín dụng
01/2014/TT-NHNN,Ngân hàng Nhà nước Việt Nam,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Ngân hàng Nhà nước Việt Nam
01/2014/TT-NHNN,Đào Minh Tú,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Đào Minh Tú
01/2014/TT-NHNN,Phát hành và kho quỹ,THUOC_LINH_VUC,rule,1.0,Metadata gốc: linh_vuc = Phát hành và kho quỹ
46/2010/QH12,Quốc hội,BAN_HANH_BOI,rule,1.0,Metadata gốc: co_quan_ban_hanh = Quốc hội
46/2010/QH12,Nguyễn Phú Trọng,KY_BOI,rule,1.0,Metadata gốc: nguoi_ky = Nguyễn Phú Trọng
